ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID951619551,1/295 Clarendon St,2,u,1360000.0,22/05/2016,1.0,2.0,0.0,129.0,-37.8335,144.9611
ID336146137,8/27 Kensington Rd,2,u,613000.0,26/07/2016,1.0,1.0,0.0,109.0,-37.838,145.0011
ID857802811,4 Boyd St,3,h,980000.0,19/11/2016,1.0,2.0,724.0,54.0,-37.8672,144.817
ID677073684,32 Hooker Rd,3,h,515000.0,23/09/2017,2.0,1.0,517.0,34.0,-37.89423,144.64131
ID379495600,6/26 Ruskin St,2,u,500000.0,22/05/2016,1.0,1.0,0.0,49.0,-37.8761,144.9821
ID816586480,303/62 Altona St,1,u,355000.0,8/04/2017,1.0,1.0,2581.0,39.0,-37.7979,144.9265
ID904481708,1/42 Wattle Dr,3,h,582000.0,8/10/2016,1.0,0.0,302.0,69.0,-37.7163,145.0768
ID710660600,5 Lockheed St,4,h,950000.0,22/05/2016,3.0,2.0,541.0,53.0,-37.7156,144.8975
ID967698177,138 Raleigh St,2,h,1143000.0,22/08/2016,1.0,2.0,431.0,49.0,-37.7598,145.0088
ID906083657,11/201 Wellington Pde S,1,u,630000.0,25/02/2017,1.0,1.0,0.0,49.0,-37.8168,144.9787
ID799408226,2 May St,4,h,1200000.0,19/11/2016,2.0,2.0,578.0,9.0,-37.7614,144.8953
ID209673547,29 Boisdale St,5,h,1518000.0,23/04/2016,2.0,1.0,632.0,69.0,-37.8352,145.1023
ID608831604,1/54 Emmaline St,1,u,370000.0,23/04/2016,1.0,1.0,0.0,109.0,-37.7635,144.9934
ID161276407,1 Bruce St,4,h,1655000.0,12/08/2017,2.0,4.0,651.0,111.0,-37.90296,145.02261000000001
ID573889728,89 John St,3,h,610000.0,3/09/2016,1.0,2.0,696.0,59.0,-37.6972,144.9431
ID302715717,32 Stamford Rd,3,h,1365000.0,8/07/2017,2.0,2.0,655.0,59.0,-37.89542,145.10055
ID747122832,24/18 Station Rd,2,u,415000.0,15/10/2016,1.0,1.0,0.0,39.0,-37.857,144.891
ID718981517,71 Hamilton Rd,5,h,1355000.0,23/09/2017,3.0,5.0,44500.0,74.0,-37.453920000000004,144.58864
ID139391864,25 Carlyle St,3,h,676500.0,8/10/2016,2.0,1.0,250.0,59.0,-37.7905,144.8762
ID886080898,2/54 Pender St,1,u,330000.0,27/06/2016,1.0,1.0,0.0,49.0,-37.7544,145.0092
ID816440337,20 Ryan St,2,h,760000.0,27/06/2016,1.0,0.0,130.0,99.0,-37.7988,144.9045
ID398825798,115 Page St,4,h,4735000.0,25/02/2017,2.0,1.0,330.0,109.0,-37.8477,144.9558
ID709996023,4/105 Raleigh Rd,2,t,510000.0,14/05/2016,2.0,1.0,176.0,9.0,-37.7693,144.8905
ID799140794,13/41 Moreland St,2,u,571000.0,16/07/2016,2.0,1.0,0.0,6.0,-37.8025,144.9073
ID744101533,5/576 Glenferrie Rd,2,u,418000.0,7/11/2016,1.0,0.0,1056.0,129.0,-37.8261,145.0349
