ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
ID606577123,211 Rathmines Rd,HAWTHORN EAST,2825000.0,h,12/08/2017,3,1.0,3.0,860.0,59.0,-37.82108,145.05739,19853.0,621.533208451934,19.15625,0,156,1480,132
ID950675095,1a Morris St,DONCASTER,1152000.0,h,6/08/2016,4,2.0,2.0,336.0,12.0,-37.794,145.1178,20042.0,2825.6842580629973,25.71794871794872,0,195,1779,147
ID355303107,4 Turner Ct,GLEN WAVERLEY,1550000.0,h,17/06/2017,3,2.0,2.0,648.0,39.0,-37.88255,145.14727,19916.0,5059.8403334902405,31.35483870967742,0,13,21,8
ID434225640,89 Kilby Rd,KEW EAST,1300000.0,h,22/05/2016,6,3.0,2.0,730.0,51.0,-37.7917,145.0509,19932.0,2160.035107676612,26.0,0,37,154,24
ID951490016,192 George St,DONCASTER,1285000.0,h,3/06/2017,3,1.0,2.0,645.0,59.0,-37.77969,145.14033,19897.0,4574.163129320774,30.818181818181817,0,208,1866,156
ID373964552,1 Blackshaw St,ORMOND,1668000.0,h,24/09/2016,2,1.0,2.0,595.0,21.0,-37.9092,145.0507,19940.0,1096.1184453252145,33.15384615384615,0,36,147,42
ID702108531,4/18 Barkly St,BOX HILL,646500.0,u,22/04/2017,2,1.0,1.0,156.0,39.0,-37.8281,145.1305,19897.0,1211.912051575869,30.818181818181817,0,362,2108,314
ID683968103,9/80 Hobsons Rd,KENSINGTON,855000.0,t,3/06/2017,3,2.0,1.0,68.0,44.0,-37.79554,144.91679,20026.0,883.2652756315534,6.4,0,41,142,25
ID581731211,10 Silverdale Rd,EAGLEMONT,2270000.0,h,17/06/2017,3,1.0,2.0,1143.0,13.0,-37.76774,145.05303,19934.0,469.3855090793688,29.0,1,208,1866,156
ID465881751,1/168 Beach Rd,PARKDALE,2185000.0,h,8/07/2017,4,2.0,3.0,220.0,9.0,-38.00205,145.07853,19863.0,946.4941815343568,50.06666666666667,0,117,1378,150
ID366670814,2/71 Southern Rd,HEIDELBERG HEIGHTS,440000.0,u,12/11/2016,2,1.0,2.0,281.0,49.0,-37.7429,145.0519,19936.0,1253.5141653178039,31.75,0,150,1565,276
ID827881355,302/218 Lygon St,BRUNSWICK EAST,290000.0,u,8/07/2017,1,1.0,0.0,197.0,7.0,-37.77165,144.97187,19968.0,1166.0233957522635,25.333333333333332,0,111,355,60
ID358386771,35 Myrtle Rd,CANTERBURY,3145000.0,h,27/11/2016,4,2.0,2.0,796.0,7.0,-37.8266,145.072,19892.0,344.0689431182201,21.785714285714285,0,462,3343,509
ID742233107,4/30 Finlayson St,MALVERN,338000.0,u,8/07/2017,1,1.0,1.0,0.0,49.0,-37.87012,145.03545,19944.0,691.3189239334622,20.8,0,102,352,106
ID157158007,1/53 Winbirra Pde,ASHWOOD,1200000.0,h,4/03/2017,4,3.0,2.0,372.0,3.0,-37.8716,145.0999,19847.0,1816.0323353199412,31.666666666666668,0,209,1886,215
ID927120637,29 Fairmount Rd,HAWTHORN EAST,3600000.0,h,23/09/2017,3,2.0,2.0,848.0,90.0,-37.83543,145.04606,19903.0,1450.7750331993802,17.904761904761905,0,156,1480,132
ID714258940,28 Regent Pde,CHELTENHAM,1170000.0,h,17/06/2017,3,1.0,2.0,627.0,19.0,-37.95668,145.06458,52095.0,1376.3769798058343,42.166666666666664,0,161,848,160
ID237990326,58 Kernot St,SOUTH KINGSVILLE,915000.0,t,16/04/2016,4,3.0,1.0,662.0,3.0,-37.8307,144.8725,19995.0,1181.1053386841454,14.357142857142858,0,121,439,60
ID841024916,3/24 South Rd,BRIGHTON,1602000.0,u,10/12/2016,3,2.0,2.0,328.0,19.0,-37.9288,144.9954,19950.0,606.0283938492366,28.5,0,343,1929,260
ID298276260,83 Challis St,NEWPORT,1220000.0,h,10/09/2016,5,3.0,2.0,681.0,99.0,-37.8426,144.8731,19994.0,923.1079218272791,16.310344827586206,0,11,52,6
ID959702882,13 Haldane Rd,NIDDRIE,935000.0,h,6/05/2017,3,1.0,2.0,657.0,69.0,-37.7356,144.8859,20036.0,3344.182085514118,27.0,0,14,58,7
ID460163641,11/52 Alma Rd,ST KILDA,320000.0,u,8/04/2017,1,1.0,1.0,1036.0,49.0,-37.8607,144.9873,19957.0,663.9082520070993,15.5,0,176,1272,233
ID707462655,4/24 Highbury Gr,KEW,525000.0,u,14/05/2016,2,1.0,1.0,0.0,49.0,-37.8054,145.0373,19904.0,1790.114739383337,15.655172413793103,0,37,154,24
ID709703468,46 Lincoln Dr,THOMASTOWN,580000.0,h,3/06/2017,3,1.0,2.0,525.0,6.0,-37.68484,145.0072,20007.0,800.0346215221002,40.22222222222222,0,71,332,39
ID398917472,5/14 Busch St,WEST FOOTSCRAY,450000.0,h,27/11/2016,2,1.0,1.0,0.0,39.0,-37.7956,144.8762,20023.0,1059.174805146346,19.4,0,36,147,42
ID329873913,23 Beauford St,HUNTINGDALE,1093800.0,h,17/06/2017,3,1.0,2.0,501.0,49.0,-37.90805,145.10683999999995,19916.0,513.4447893839318,31.35483870967742,0,354,1868,330
ID967185950,3/11 Oriel Rd,IVANHOE,890000.0,t,4/06/2016,3,2.0,2.0,249.0,14.0,-37.766,145.0345,19933.0,1014.0153588270417,26.058823529411764,0,79,225,53
ID855822083,55 Bennett St,ALPHINGTON,1975000.0,h,20/05/2017,4,2.0,2.0,600.0,52.0,-37.771,145.0318,19932.0,734.65243538429,26.0,0,151,1120,125
ID586887391,23 Maud St,BALWYN NORTH,1350000.0,h,18/03/2017,2,1.0,2.0,467.0,69.0,-37.7945,145.067,19932.0,3320.661536994916,26.0,0,125,839,108
ID622129719,81 Dalpura Cct,FRANKSTON,491000.0,h,27/05/2017,3,1.0,2.0,602.0,18.0,-38.13759,145.17054,19856.0,3554.7958229123055,66.81818181818181,0,67,594,78
ID896361782,44 The Parade,ASCOT VALE,1850000.0,h,4/03/2017,4,3.0,1.0,478.0,119.0,-37.7729,144.9179,20039.0,436.7481024843042,20.0,0,311,2261,423
ID304404656,2/7 Bradley Dr,MILL PARK,428000.0,h,24/06/2017,2,1.0,1.0,389.0,14.0,-37.65623,145.07431,45795.0,1015.3741098493736,49.25,0,188,1214,184
ID858306071,6/141 Centre Rd,BRIGHTON EAST,340000.0,u,25/02/2017,1,1.0,1.0,0.0,69.0,-37.9164,145.0228,19939.0,1251.7999911911866,35.083333333333336,0,362,2108,314
ID598841095,3/124 Canterbury Rd,CANTERBURY,685000.0,u,27/11/2016,2,1.0,1.0,122.0,24.0,-37.8236,145.0729,19892.0,486.5347499347047,21.785714285714285,0,462,3343,509
ID502443677,124 Albert St,SEDDON,1870000.0,h,12/08/2017,4,2.0,2.0,457.0,38.0,-37.80803,144.89601000000005,19997.0,112.55631771172504,10.357142857142858,0,126,380,68
ID323856560,31/78 Oxford St,COLLINGWOOD,1215000.0,u,24/09/2016,2,2.0,1.0,0.0,124.0,-37.8035,144.985,19976.0,777.9870518791039,12.235294117647058,0,133,1156,139
ID600374527,3 Maralee Pl,DONCASTER,1850000.0,h,7/11/2016,3,1.0,2.0,1073.0,59.0,-37.7772,145.1157,20042.0,4704.793017223172,25.71794871794872,0,195,1779,147
ID832301648,8/44 Southey St,ELWOOD,520000.0,u,3/09/2016,1,1.0,1.0,0.0,89.0,-37.8761,144.9871,19955.0,715.261164979262,19.5,0,195,1779,147
ID298016868,34 Lincoln Rd,ESSENDON,1400000.0,h,13/05/2017,3,1.0,1.0,578.0,54.0,-37.7526,144.9089,20037.0,746.1514492756119,24.0,0,47,371,27
ID744701727,23 Cleveland Dr,HOPPERS CROSSING,530000.0,h,3/06/2017,3,2.0,2.0,530.0,22.0,-37.86515,144.66671000000005,19922.0,3622.966301137774,32.142857142857146,1,80,223,58
ID665443610,3 Paula Ct,OAKLEIGH SOUTH,980500.0,h,27/11/2016,3,2.0,2.0,727.0,57.0,-37.9187,145.1098,19916.0,1076.0137279106718,31.35483870967742,0,25,60,14
ID561358421,13 Patterson St,PRESTON,790000.0,h,26/07/2016,2,1.0,1.0,266.0,94.0,-37.7423,145.0105,20012.0,966.6438139869166,28.3,0,85,1043,112
